"Federal Provider Number","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Penalty Date","Penalty Type","Fine Amount","Payment Denial Start Date","Payment Denial Length in Days","Location","Processing Date"
"255156","GRENADA REHABILITATION AND HEALTHCARE CENTER","1966 HILL DRIVE","GRENADA","MS","38901","2018-02-15","Fine","8241",,,"1966 HILL DRIVE,GRENADA,MS,38901","2020-11-01"
"255158","BEDFORD CARE CENTER OF HATTIESBURG","10 MEDICAL BOULEVARD","HATTIESBURG","MS","39401","2018-12-04","Fine","6500",,,"10 MEDICAL BOULEVARD,HATTIESBURG,MS,39401","2020-11-01"
"255163","MEMORIAL WOODLAND VILLAGE NURSING CENTER","5427 GEX ROAD","DIAMONDHEAD","MS","39525","2018-02-16","Fine","13627",,,"5427 GEX ROAD,DIAMONDHEAD,MS,39525","2020-11-01"
"255163","MEMORIAL WOODLAND VILLAGE NURSING CENTER","5427 GEX ROAD","DIAMONDHEAD","MS","39525","2018-02-16","Fine","2932",,,"5427 GEX ROAD,DIAMONDHEAD,MS,39525","2020-11-01"
"255163","MEMORIAL WOODLAND VILLAGE NURSING CENTER","5427 GEX ROAD","DIAMONDHEAD","MS","39525","2018-02-16","Payment Denial",,"2018-07-06","34","5427 GEX ROAD,DIAMONDHEAD,MS,39525","2020-11-01"
"255171","WINONA MANOR HEALTH CARE AND REHABILITATION CENTER","627 MIDDLETON ROAD","WINONA","MS","38967","2018-12-20","Fine","2935",,,"627 MIDDLETON ROAD,WINONA,MS,38967","2020-11-01"
"255172","STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE","1001 HOSPITAL ROAD","STARKVILLE","MS","39759","2018-11-30","Fine","13627",,,"1001 HOSPITAL ROAD,STARKVILLE,MS,39759","2020-11-01"
"255173","GLENBURNEY HEALTH CARE AND REHABILITATION CENTER","555 JOHN R. JUNKIN DRIVE","NATCHEZ","MS","39120","2019-05-05","Fine","37525",,,"555 JOHN R. JUNKIN DRIVE,NATCHEZ,MS,39120","2020-11-01"
"255173","GLENBURNEY HEALTH CARE AND REHABILITATION CENTER","555 JOHN R. JUNKIN DRIVE","NATCHEZ","MS","39120","2019-05-05","Payment Denial",,"2019-06-14","4","555 JOHN R. JUNKIN DRIVE,NATCHEZ,MS,39120","2020-11-01"
"255174","SINGING RIVER HEALTH AND REHABILITATION CENTER","3401 MAIN STREET","MOSS POINT","MS","39563","2018-12-06","Fine","31831",,,"3401 MAIN STREET,MOSS POINT,MS,39563","2020-11-01"
"255182","LAKEVIEW NURSING CENTER","16411 ROBINSON ROAD","GULFPORT","MS","39503","2019-01-23","Fine","13904",,,"16411 ROBINSON ROAD,GULFPORT,MS,39503","2020-11-01"
"255206","AURORA HEALTH AND REHABILITATION","310 EMERALD DRIVE","COLUMBUS","MS","39702","2018-09-13","Fine","16639",,,"310 EMERALD DRIVE,COLUMBUS,MS,39702","2020-11-01"
"255207","PLAZA COMMUNITY LIVING CENTER","4403 HOSPITAL ROAD","PASCAGOULA","MS","39581","2019-05-23","Fine","10689",,,"4403 HOSPITAL ROAD,PASCAGOULA,MS,39581","2020-11-01"
"255207","PLAZA COMMUNITY LIVING CENTER","4403 HOSPITAL ROAD","PASCAGOULA","MS","39581","2019-05-23","Payment Denial",,"2019-07-03","12","4403 HOSPITAL ROAD,PASCAGOULA,MS,39581","2020-11-01"
"255220","SHARKEY-ISSAQUENA NURSING HOME","431 WEST RACE STREET","ROLLING FORK","MS","39159","2019-08-22","Fine","8099",,,"431 WEST RACE STREET,ROLLING FORK,MS,39159","2020-11-01"
"255227","COLUMBIA REHABILITATION AND HEALTHCARE CENTER","1506 NORTH MAIN STREET","COLUMBIA","MS","39429","2018-03-01","Fine","7150",,,"1506 NORTH MAIN STREET,COLUMBIA,MS,39429","2020-11-01"
"255227","COLUMBIA REHABILITATION AND HEALTHCARE CENTER","1506 NORTH MAIN STREET","COLUMBIA","MS","39429","2019-06-04","Fine","22324",,,"1506 NORTH MAIN STREET,COLUMBIA,MS,39429","2020-11-01"
"255233","AZALEA GARDENS NURSING CENTER","530 HALL ST","WIGGINS","MS","39577","2020-01-31","Fine","51089",,,"530 HALL ST,WIGGINS,MS,39577","2020-11-01"
"255244","SUNPLEX SUB-ACUTE CENTER","6520 SUNSCOPE DRIVE","OCEAN SPRINGS","MS","39564","2018-09-20","Fine","13627",,,"6520 SUNSCOPE DRIVE,OCEAN SPRINGS,MS,39564","2020-11-01"
"255244","SUNPLEX SUB-ACUTE CENTER","6520 SUNSCOPE DRIVE","OCEAN SPRINGS","MS","39564","2019-07-19","Fine","21928",,,"6520 SUNSCOPE DRIVE,OCEAN SPRINGS,MS,39564","2020-11-01"
"255249","COMPERE NH INC","865 NORTH STREET","JACKSON","MS","39202","2018-05-20","Fine","11309",,,"865 NORTH STREET,JACKSON,MS,39202","2020-11-01"
"255252","MS CARE CENTER OF GREENVILLE","1221 EAST UNION STREET","GREENVILLE","MS","38703","2018-08-21","Fine","31225",,,"1221 EAST UNION STREET,GREENVILLE,MS,38703","2020-11-01"
"255252","MS CARE CENTER OF GREENVILLE","1221 EAST UNION STREET","GREENVILLE","MS","38703","2019-07-17","Fine","11484",,,"1221 EAST UNION STREET,GREENVILLE,MS,38703","2020-11-01"
"255252","MS CARE CENTER OF GREENVILLE","1221 EAST UNION STREET","GREENVILLE","MS","38703","2019-07-17","Fine","6116",,,"1221 EAST UNION STREET,GREENVILLE,MS,38703","2020-11-01"
"255252","MS CARE CENTER OF GREENVILLE","1221 EAST UNION STREET","GREENVILLE","MS","38703","2019-07-17","Payment Denial",,"2019-09-11","58","1221 EAST UNION STREET,GREENVILLE,MS,38703","2020-11-01"
"255261","THE OAKS REHABILITATION AND HEALTHCARE CENTER","3716 HIGHWAY 39 NORTH","MERIDIAN","MS","39301","2018-06-12","Fine","22874",,,"3716 HIGHWAY 39 NORTH,MERIDIAN,MS,39301","2020-11-01"
"255264","LONGWOOD COMM LIVING CENTER","200 LONG STREET/P. O. BOX 326","BOONEVILLE","MS","38829","2018-10-11","Fine","6500",,,"200 LONG STREET/P. O. BOX 326,BOONEVILLE,MS,38829","2020-11-01"
"255276","BELHAVEN SENIOR CARE, LLC","1004 NORTH ST","JACKSON","MS","39202","2019-05-09","Fine","6770",,,"1004 NORTH ST,JACKSON,MS,39202","2020-11-01"
"255276","BELHAVEN SENIOR CARE, LLC","1004 NORTH ST","JACKSON","MS","39202","2019-09-26","Fine","13611",,,"1004 NORTH ST,JACKSON,MS,39202","2020-11-01"
"255279","SARDIS COMMUNITY  NH","613 EAST LEE STREET","SARDIS","MS","38666","2018-09-18","Fine","13627",,,"613 EAST LEE STREET,SARDIS,MS,38666","2020-11-01"
"255286","PINEVIEW HEALTH AND REHABILITATION CENTER","1304 WALNUT ST","WAYNESBORO","MS","39367","2019-02-08","Fine","345999",,,"1304 WALNUT ST,WAYNESBORO,MS,39367","2020-11-01"
"255288","LAKESIDE HEALTH AND REHABILITATION CENTER","191 HIGHWAY 511 EAST","QUITMAN","MS","39355","2019-03-15","Fine","13868",,,"191 HIGHWAY 511 EAST,QUITMAN,MS,39355","2020-11-01"
"255290","DRIFTWOOD NURSING CENTER","1500 BROAD AVENUE","GULFPORT","MS","39501","2019-01-16","Fine","16994",,,"1500 BROAD AVENUE,GULFPORT,MS,39501","2020-11-01"
"255296","DESOTO HEALTHCARE CENTER","7805 SOUTHCREST PARKWAY","SOUTHAVEN","MS","38671","2019-04-07","Fine","9279",,,"7805 SOUTHCREST PARKWAY,SOUTHAVEN,MS,38671","2020-11-01"
"255303","BRIAR HILL REST HOME","1201 GUNTER ROAD","FLORENCE","MS","39073","2018-01-12","Fine","6500",,,"1201 GUNTER ROAD,FLORENCE,MS,39073","2020-11-01"
"255303","BRIAR HILL REST HOME","1201 GUNTER ROAD","FLORENCE","MS","39073","2019-01-03","Fine","7296",,,"1201 GUNTER ROAD,FLORENCE,MS,39073","2020-11-01"
"255306","FLOY DYER MANOR NH","1000 EAST MADISON","HOUSTON","MS","38851","2018-08-03","Fine","13328",,,"1000 EAST MADISON,HOUSTON,MS,38851","2020-11-01"
"255307","GOLDEN AGE NURSING HOME","2901 HIGHWAY 82 EAST","GREENWOOD","MS","38930","2017-11-16","Fine","6500",,,"2901 HIGHWAY 82 EAST,GREENWOOD,MS,38930","2020-11-01"
"255328","BEDFORD CARE CENTER OF MARION","6434 A DALE DR","MARION","MS","39342","2019-01-04","Fine","9750",,,"6434 A DALE DR,MARION,MS,39342","2020-11-01"
"255328","BEDFORD CARE CENTER OF MARION","6434 A DALE DR","MARION","MS","39342","2019-06-20","Fine","10074",,,"6434 A DALE DR,MARION,MS,39342","2020-11-01"
"255336","JONES CO REST HOME","683 COUNTY HOME ROAD","ELLISVILLE","MS","39437","2018-10-12","Fine","8258",,,"683 COUNTY HOME ROAD,ELLISVILLE,MS,39437","2020-11-01"
"255336","JONES CO REST HOME","683 COUNTY HOME ROAD","ELLISVILLE","MS","39437","2018-10-12","Payment Denial",,"2018-11-21","9","683 COUNTY HOME ROAD,ELLISVILLE,MS,39437","2020-11-01"
"255341","GULFPORT CARE CENTER","11240 CANAL ROAD","GULFPORT","MS","39503","2018-05-24","Fine","8781",,,"11240 CANAL ROAD,GULFPORT,MS,39503","2020-11-01"
"265105","DELMAR GARDENS WEST","13550 SOUTH OUTER 40 ROAD","TOWN AND COUNTRY","MO","63017","2018-01-19","Fine","28369",,,"13550 SOUTH OUTER 40 ROAD,TOWN AND COUNTRY,MO,63017","2020-11-01"
"265105","DELMAR GARDENS WEST","13550 SOUTH OUTER 40 ROAD","TOWN AND COUNTRY","MO","63017","2018-12-05","Fine","11700",,,"13550 SOUTH OUTER 40 ROAD,TOWN AND COUNTRY,MO,63017","2020-11-01"
"265105","DELMAR GARDENS WEST","13550 SOUTH OUTER 40 ROAD","TOWN AND COUNTRY","MO","63017","2019-08-23","Fine","6380",,,"13550 SOUTH OUTER 40 ROAD,TOWN AND COUNTRY,MO,63017","2020-11-01"
"265108","BETH HAVEN NURSING HOME","2500 PLEASANT STREET","HANNIBAL","MO","63401","2019-09-12","Fine","11066",,,"2500 PLEASANT STREET,HANNIBAL,MO,63401","2020-11-01"
"265118","FRONTIER HEALTH & REHABILITATION","2840 WEST CLAY ST","SAINT CHARLES","MO","63301","2018-03-15","Fine","8775",,,"2840 WEST CLAY ST,SAINT CHARLES,MO,63301","2020-11-01"
"265118","FRONTIER HEALTH & REHABILITATION","2840 WEST CLAY ST","SAINT CHARLES","MO","63301","2018-03-15","Payment Denial",,"2018-04-24","7","2840 WEST CLAY ST,SAINT CHARLES,MO,63301","2020-11-01"
"265118","FRONTIER HEALTH & REHABILITATION","2840 WEST CLAY ST","SAINT CHARLES","MO","63301","2019-07-26","Payment Denial",,"2019-10-26","73","2840 WEST CLAY ST,SAINT CHARLES,MO,63301","2020-11-01"
"265145","SWOPE RIDGE GERIATRIC CENTER","5900 SWOPE PARKWAY","KANSAS CITY","MO","64130","2019-01-23","Fine","34067",,,"5900 SWOPE PARKWAY,KANSAS CITY,MO,64130","2020-11-01"
"265145","SWOPE RIDGE GERIATRIC CENTER","5900 SWOPE PARKWAY","KANSAS CITY","MO","64130","2019-01-23","Payment Denial",,"2019-02-26","50","5900 SWOPE PARKWAY,KANSAS CITY,MO,64130","2020-11-01"
"265145","SWOPE RIDGE GERIATRIC CENTER","5900 SWOPE PARKWAY","KANSAS CITY","MO","64130","2019-06-28","Payment Denial",,"2019-08-12","36","5900 SWOPE PARKWAY,KANSAS CITY,MO,64130","2020-11-01"
"265149","FOUR SEASONS LIVING CENTER","2800 HIGHWAY TT","SEDALIA","MO","65301","2019-02-11","Fine","7296",,,"2800 HIGHWAY TT,SEDALIA,MO,65301","2020-11-01"
"265149","FOUR SEASONS LIVING CENTER","2800 HIGHWAY TT","SEDALIA","MO","65301","2019-02-11","Payment Denial",,"2019-03-19","9","2800 HIGHWAY TT,SEDALIA,MO,65301","2020-11-01"
"265160","LEWIS & CLARK GARDENS","1221 BOONES LICK ROAD","SAINT CHARLES","MO","63301","2018-01-19","Fine","19500",,,"1221 BOONES LICK ROAD,SAINT CHARLES,MO,63301","2020-11-01"
"265163","MACON HEALTH CARE CENTER","29612 KELLOGG AVENUE, PO BOX 465","MACON","MO","63552","2019-01-03","Fine","27374",,,"29612 KELLOGG AVENUE, PO BOX 465,MACON,MO,63552","2020-11-01"
"265164","WEST VUE NURSING AND REHABILITATION CENTER","210 DAVIS DRIVE","WEST PLAINS","MO","65775","2019-09-24","Fine","27210",,,"210 DAVIS DRIVE,WEST PLAINS,MO,65775","2020-11-01"
"265166","NHC HEALTHCARE, ST CHARLES","35 SUGAR MAPLE LANE","SAINT CHARLES","MO","63303","2018-12-21","Fine","53337",,,"35 SUGAR MAPLE LANE,SAINT CHARLES,MO,63303","2020-11-01"
"265166","NHC HEALTHCARE, ST CHARLES","35 SUGAR MAPLE LANE","SAINT CHARLES","MO","63303","2019-08-01","Fine","62585",,,"35 SUGAR MAPLE LANE,SAINT CHARLES,MO,63303","2020-11-01"
"265167","HIGHLAND REHABILITATION & HEALTH CARE CENTER","904 EAST 68TH STREET","KANSAS CITY","MO","64131","2018-10-05","Fine","3679",,,"904 EAST 68TH STREET,KANSAS CITY,MO,64131","2020-11-01"
"265167","HIGHLAND REHABILITATION & HEALTH CARE CENTER","904 EAST 68TH STREET","KANSAS CITY","MO","64131","2019-10-07","Fine","3981",,,"904 EAST 68TH STREET,KANSAS CITY,MO,64131","2020-11-01"
"265170","DELMAR GARDENS OF CHESTERFIELD","14855 NORTH OUTER 40 ROAD","CHESTERFIELD","MO","63017","2019-09-19","Fine","26861",,,"14855 NORTH OUTER 40 ROAD,CHESTERFIELD,MO,63017","2020-11-01"
"265174","CHRISTIAN EXTENDED CARE & REHABILITATION","11160 VILLAGE NORTH DRIVE","SAINT LOUIS","MO","63136","2019-05-31","Payment Denial",,"2019-07-08","4","11160 VILLAGE NORTH DRIVE,SAINT LOUIS,MO,63136","2020-11-01"
"265175","NHC HEALTHCARE, JOPLIN","2700 EAST 34TH STREET,  PO BOX 2877","JOPLIN","MO","64803","2019-03-08","Fine","85228",,,"2700 EAST 34TH STREET,  PO BOX 2877,JOPLIN,MO,64803","2020-11-01"
"265175","NHC HEALTHCARE, JOPLIN","2700 EAST 34TH STREET,  PO BOX 2877","JOPLIN","MO","64803","2019-03-08","Payment Denial",,"2019-04-11","34","2700 EAST 34TH STREET,  PO BOX 2877,JOPLIN,MO,64803","2020-11-01"
"265182","AURORA NURSING CENTER","1700 SOUTH HUDSON AVENUE","AURORA","MO","65605","2018-09-24","Fine","9918",,,"1700 SOUTH HUDSON AVENUE,AURORA,MO,65605","2020-11-01"
"265199","GRAND PAVILION AT THE PLAZA","4330 WASHINGTON","KANSAS CITY","MO","64111","2019-03-14","Payment Denial",,"2019-06-12","37","4330 WASHINGTON,KANSAS CITY,MO,64111","2020-11-01"
"265230","OZARK MOUNTAIN REGIONAL HEALTHCARE CENTER","509 MEADOWLARK AVENUE","CRANE","MO","65633","2018-07-20","Fine","99915",,,"509 MEADOWLARK AVENUE,CRANE,MO,65633","2020-11-01"
"265237","MAPLE LAWN NURSING HOME","1410 WEST LINE STREET, PO BOX 232","PALMYRA","MO","63461","2018-12-04","Fine","28532",,,"1410 WEST LINE STREET, PO BOX 232,PALMYRA,MO,63461","2020-11-01"
"265237","MAPLE LAWN NURSING HOME","1410 WEST LINE STREET, PO BOX 232","PALMYRA","MO","63461","2018-12-04","Payment Denial",,"2019-01-07","11","1410 WEST LINE STREET, PO BOX 232,PALMYRA,MO,63461","2020-11-01"
"265254","HEART OF THE OZARKS HEALTHCARE CENTER","2004 CRESTVIEW STREET, PO BOX 727","AVA","MO","65608","2018-08-22","Fine","19885",,,"2004 CRESTVIEW STREET, PO BOX 727,AVA,MO,65608","2020-11-01"
"265309","JOPLIN HEALTH AND REHABILITATION CENTER","2218 W 32ND STREET","JOPLIN","MO","64804","2018-02-07","Fine","10400",,,"2218 W 32ND STREET,JOPLIN,MO,64804","2020-11-01"
"265319","PARKLANE CARE AND REHABILITATION CENTER","401 MAR-LE DRIVE","WENTZVILLE","MO","63385","2017-11-08","Fine","66924",,,"401 MAR-LE DRIVE,WENTZVILLE,MO,63385","2020-11-01"
"265319","PARKLANE CARE AND REHABILITATION CENTER","401 MAR-LE DRIVE","WENTZVILLE","MO","63385","2017-11-08","Payment Denial",,"2018-01-28","61","401 MAR-LE DRIVE,WENTZVILLE,MO,63385","2020-11-01"
"265319","PARKLANE CARE AND REHABILITATION CENTER","401 MAR-LE DRIVE","WENTZVILLE","MO","63385","2019-03-22","Fine","34658",,,"401 MAR-LE DRIVE,WENTZVILLE,MO,63385","2020-11-01"
"265326","REPUBLIC NURSING & REHAB","901 EAST HWY 174","REPUBLIC","MO","65738","2018-11-21","Fine","11050",,,"901 EAST HWY 174,REPUBLIC,MO,65738","2020-11-01"
"265330","NORTH VILLAGE PARK","2041 SILVA LANE","MOBERLY","MO","65270","2018-01-12","Fine","8125",,,"2041 SILVA LANE,MOBERLY,MO,65270","2020-11-01"
"265330","NORTH VILLAGE PARK","2041 SILVA LANE","MOBERLY","MO","65270","2018-06-21","Fine","91975",,,"2041 SILVA LANE,MOBERLY,MO,65270","2020-11-01"
"265330","NORTH VILLAGE PARK","2041 SILVA LANE","MOBERLY","MO","65270","2019-03-21","Fine","187853",,,"2041 SILVA LANE,MOBERLY,MO,65270","2020-11-01"
"265330","NORTH VILLAGE PARK","2041 SILVA LANE","MOBERLY","MO","65270","2019-03-21","Payment Denial",,"2019-04-24","63","2041 SILVA LANE,MOBERLY,MO,65270","2020-11-01"
"265333","JONESBURG NURSING & REHAB","308 CEDAR AVENUE, PO BOX 218","JONESBURG","MO","63351","2019-07-25","Fine","11278",,,"308 CEDAR AVENUE, PO BOX 218,JONESBURG,MO,63351","2020-11-01"
"265336","CARRIAGE SQUARE LIVING & REHAB CENTER","4009 GENE FIELD ROAD","SAINT JOSEPH","MO","64506","2019-09-18","Payment Denial",,"2019-12-02","8","4009 GENE FIELD ROAD,SAINT JOSEPH,MO,64506","2020-11-01"
"265345","LIFE CARE CENTER OF BRIDGETON","12145 BRIDGETON SQUARE DR","BRIDGETON","MO","63044","2018-09-06","Fine","154953",,,"12145 BRIDGETON SQUARE DR,BRIDGETON,MO,63044","2020-11-01"
"265345","LIFE CARE CENTER OF BRIDGETON","12145 BRIDGETON SQUARE DR","BRIDGETON","MO","63044","2018-09-06","Payment Denial",,"2018-10-15","20","12145 BRIDGETON SQUARE DR,BRIDGETON,MO,63044","2020-11-01"
"265345","LIFE CARE CENTER OF BRIDGETON","12145 BRIDGETON SQUARE DR","BRIDGETON","MO","63044","2019-07-23","Fine","25012",,,"12145 BRIDGETON SQUARE DR,BRIDGETON,MO,63044","2020-11-01"
"265349","GOLDEN YEARS CENTER FOR REHAB AND HEALTHCARE","2001 JEFFERSON PARKWAY","HARRISONVILLE","MO","64701","2018-05-03","Fine","12288",,,"2001 JEFFERSON PARKWAY,HARRISONVILLE,MO,64701","2020-11-01"
"265358","RIVERBEND HEIGHTS HEALTH & REHABILITATION","1221 HIGHWAY 13 SOUTH","LEXINGTON","MO","64067","2018-10-03","Fine","30349",,,"1221 HIGHWAY 13 SOUTH,LEXINGTON,MO,64067","2020-11-01"
"265358","RIVERBEND HEIGHTS HEALTH & REHABILITATION","1221 HIGHWAY 13 SOUTH","LEXINGTON","MO","64067","2019-05-23","Fine","3679",,,"1221 HIGHWAY 13 SOUTH,LEXINGTON,MO,64067","2020-11-01"
"265364","LINN OAK REHABILITATION CENTER","196 HIGHWAY CC","LINN","MO","65051","2018-01-24","Fine","60747",,,"196 HIGHWAY CC,LINN,MO,65051","2020-11-01"
"265364","LINN OAK REHABILITATION CENTER","196 HIGHWAY CC","LINN","MO","65051","2018-01-24","Payment Denial",,"2018-02-27","11","196 HIGHWAY CC,LINN,MO,65051","2020-11-01"
"265378","ROYAL OAK NURSING & REHAB","4960 LACLEDE AVENUE","SAINT LOUIS","MO","63108","2019-08-14","Payment Denial",,"2019-09-25","14","4960 LACLEDE AVENUE,SAINT LOUIS,MO,63108","2020-11-01"
"265402","RANCHO MANOR HEALTHCARE AND REHABILITATION CENTER","615 RANCHO LANE","FLORISSANT","MO","63031","2018-01-31","Fine","8595",,,"615 RANCHO LANE,FLORISSANT,MO,63031","2020-11-01"
"265402","RANCHO MANOR HEALTHCARE AND REHABILITATION CENTER","615 RANCHO LANE","FLORISSANT","MO","63031","2018-01-31","Payment Denial",,"2018-03-14","20","615 RANCHO LANE,FLORISSANT,MO,63031","2020-11-01"
"265402","RANCHO MANOR HEALTHCARE AND REHABILITATION CENTER","615 RANCHO LANE","FLORISSANT","MO","63031","2019-02-14","Fine","31863",,,"615 RANCHO LANE,FLORISSANT,MO,63031","2020-11-01"
"265417","ALEXIAN BROTHERS SHERBROOKE VILLAGE","4005 RIPA AVENUE","SAINT LOUIS","MO","63125","2019-03-14","Fine","11278",,,"4005 RIPA AVENUE,SAINT LOUIS,MO,63125","2020-11-01"
"265417","ALEXIAN BROTHERS SHERBROOKE VILLAGE","4005 RIPA AVENUE","SAINT LOUIS","MO","63125","2019-08-16","Fine","53040",,,"4005 RIPA AVENUE,SAINT LOUIS,MO,63125","2020-11-01"
"265418","DIXON NURSING & REHAB","403 EAST 10TH STREET","DIXON","MO","65459","2018-07-20","Fine","10400",,,"403 EAST 10TH STREET,DIXON,MO,65459","2020-11-01"
"265419","COUNTRY VIEW NURSING FACILITY, INC","2106 WEST MAIN, PO BOX 330","BOWLING GREEN","MO","63334","2018-03-07","Payment Denial",,"2018-04-16","4","2106 WEST MAIN, PO BOX 330,BOWLING GREEN,MO,63334","2020-11-01"
"265419","COUNTRY VIEW NURSING FACILITY, INC","2106 WEST MAIN, PO BOX 330","BOWLING GREEN","MO","63334","2018-12-21","Fine","52429",,,"2106 WEST MAIN, PO BOX 330,BOWLING GREEN,MO,63334","2020-11-01"
"265419","COUNTRY VIEW NURSING FACILITY, INC","2106 WEST MAIN, PO BOX 330","BOWLING GREEN","MO","63334","2018-12-21","Payment Denial",,"2019-03-21","63","2106 WEST MAIN, PO BOX 330,BOWLING GREEN,MO,63334","2020-11-01"
"265419","COUNTRY VIEW NURSING FACILITY, INC","2106 WEST MAIN, PO BOX 330","BOWLING GREEN","MO","63334","2020-01-08","Payment Denial",,"2020-02-15","13","2106 WEST MAIN, PO BOX 330,BOWLING GREEN,MO,63334","2020-11-01"
"265423","WESTVIEW NURSING HOME","301 WEST DUNLOP STREET","CENTER","MO","63436","2018-07-27","Payment Denial",,"2018-09-03","7","301 WEST DUNLOP STREET,CENTER,MO,63436","2020-11-01"
"265423","WESTVIEW NURSING HOME","301 WEST DUNLOP STREET","CENTER","MO","63436","2019-12-17","Payment Denial",,"2020-01-28","3","301 WEST DUNLOP STREET,CENTER,MO,63436","2020-11-01"
"265425","EDGEWOOD MANOR HEALTH CARE CENTER","11900 JESSICA LANE","RAYTOWN","MO","64138","2018-05-02","Payment Denial",,"2018-05-30","17","11900 JESSICA LANE,RAYTOWN,MO,64138","2020-11-01"
"265425","EDGEWOOD MANOR HEALTH CARE CENTER","11900 JESSICA LANE","RAYTOWN","MO","64138","2019-02-01","Payment Denial",,"2019-03-11","6","11900 JESSICA LANE,RAYTOWN,MO,64138","2020-11-01"
"265430","BIG RIVER NURSING & REHAB","6400 THE CEDARS COURT","CEDAR HILL","MO","63016","2018-12-06","Fine","47281",,,"6400 THE CEDARS COURT,CEDAR HILL,MO,63016","2020-11-01"
"265446","COMMUNITY SPRINGS HEALTHCARE FACILITY","400 EAST HOSPITAL ROAD","EL DORADO SPRINGS","MO","64744","2019-03-01","Fine","11278",,,"400 EAST HOSPITAL ROAD,EL DORADO SPRINGS,MO,64744","2020-11-01"
"265454","SMITHVILLE LIVING CENTER","106 HOSPITAL DRIVE","SMITHVILLE","MO","64089","2019-09-12","Fine","60752",,,"106 HOSPITAL DRIVE,SMITHVILLE,MO,64089","2020-11-01"
"265454","SMITHVILLE LIVING CENTER","106 HOSPITAL DRIVE","SMITHVILLE","MO","64089","2019-09-12","Payment Denial",,"2019-11-10","82","106 HOSPITAL DRIVE,SMITHVILLE,MO,64089","2020-11-01"
"265460","CASSVILLE HEALTH CENTER FOR REHAB AND HEALTHCARE","1300 COUNTY FARM ROAD","CASSVILLE","MO","65625","2018-02-27","Fine","19869",,,"1300 COUNTY FARM ROAD,CASSVILLE,MO,65625","2020-11-01"
"265460","CASSVILLE HEALTH CENTER FOR REHAB AND HEALTHCARE","1300 COUNTY FARM ROAD","CASSVILLE","MO","65625","2018-02-27","Payment Denial",,"2018-04-02","43","1300 COUNTY FARM ROAD,CASSVILLE,MO,65625","2020-11-01"
"265462","WILLOW CARE REHABILITATION & HEALTH CARE CENTER","328 MUNGER LANE","HANNIBAL","MO","63401","2019-08-28","Fine","16023",,,"328 MUNGER LANE,HANNIBAL,MO,63401","2020-11-01"
"265462","WILLOW CARE REHABILITATION & HEALTH CARE CENTER","328 MUNGER LANE","HANNIBAL","MO","63401","2019-08-28","Payment Denial",,"2019-11-26","17","328 MUNGER LANE,HANNIBAL,MO,63401","2020-11-01"
"265463","PARKVIEW HEALTHCARE","128 NORTH HARDESTY","KANSAS CITY","MO","64123","2018-04-13","Payment Denial",,"2018-05-22","48","128 NORTH HARDESTY,KANSAS CITY,MO,64123","2020-11-01"
"265463","PARKVIEW HEALTHCARE","128 NORTH HARDESTY","KANSAS CITY","MO","64123","2019-11-20","Payment Denial",,"2020-01-01","82","128 NORTH HARDESTY,KANSAS CITY,MO,64123","2020-11-01"
"265466","LAKE STOCKTON HEALTHCARE FACILITY","1523 3RD ROAD,  PO BOX 945","STOCKTON","MO","65785","2018-05-09","Fine","73489",,,"1523 3RD ROAD,  PO BOX 945,STOCKTON,MO,65785","2020-11-01"
"265466","LAKE STOCKTON HEALTHCARE FACILITY","1523 3RD ROAD,  PO BOX 945","STOCKTON","MO","65785","2019-11-06","Fine","11941",,,"1523 3RD ROAD,  PO BOX 945,STOCKTON,MO,65785","2020-11-01"
"265476","REDWOOD OF RAYMORE","600 E SUNRISE DRIVE","RAYMORE","MO","64083","2019-03-14","Payment Denial",,"2019-04-16","69","600 E SUNRISE DRIVE,RAYMORE,MO,64083","2020-11-01"
"265480","GRAND RIVER HEALTH CARE","118 TRENTON ROAD","CHILLICOTHE","MO","64601","2018-11-01","Fine","13514",,,"118 TRENTON ROAD,CHILLICOTHE,MO,64601","2020-11-01"
"265480","GRAND RIVER HEALTH CARE","118 TRENTON ROAD","CHILLICOTHE","MO","64601","2018-11-01","Payment Denial",,"2019-01-17","64","118 TRENTON ROAD,CHILLICOTHE,MO,64601","2020-11-01"
"265481","PIN OAKS LIVING CENTER","1525 WEST MONROE","MEXICO","MO","65265","2019-05-10","Fine","4342",,,"1525 WEST MONROE,MEXICO,MO,65265","2020-11-01"
"265481","PIN OAKS LIVING CENTER","1525 WEST MONROE","MEXICO","MO","65265","2019-05-10","Fine","9331",,,"1525 WEST MONROE,MEXICO,MO,65265","2020-11-01"
"265486","STONEBRIDGE MARYLAND HEIGHTS","2963 DODDRIDGE AVENUE","MARYLAND HEIGHTS","MO","63043","2019-06-24","Fine","29016",,,"2963 DODDRIDGE AVENUE,MARYLAND HEIGHTS,MO,63043","2020-11-01"
"265498","BLUFFS, THE","3105 BLUFF CREEK DRIVE","COLUMBIA","MO","65201","2019-10-20","Payment Denial",,"2019-11-28","23","3105 BLUFF CREEK DRIVE,COLUMBIA,MO,65201","2020-11-01"
